candidate_id,family,environment_target,recommended_plan_bucket,selection_tier,confirmation_role,pool_role,source_parent_candidate_id,scale_factor,preliminary_label_counts,confirmed_label_counts,transition_class_counts,candidate_level_status,budget_1000_preliminary,budget_1000_confirmed,budget_5000_preliminary,budget_5000_confirmed
f01_common_scaled_frontier_x4p0_seed991152,F01,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f01_common_scaled_seed990104,4.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f01_server_scaled_frontier_x2p0_seed991161,F01,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f01_server_scaled_seed990107,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f01_server_scaled_frontier_x4p0_seed991162,F01,server_expanded,confirmation_core,primary_budget_sensitive_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f01_server_scaled_seed990107,4.0,"{""competitive_candidate"": 1, ""strong_exception_candidate"": 1}","{""competitive_confirmed"": 1, ""strong_exception_confirmed"": 1}","{""same_tier"": 1, ""stable_strong"": 1}",confirmed_budget_sensitive_strong_exception,competitive_candidate,competitive_confirmed,strong_exception_candidate,strong_exception_confirmed
f02_common_b_frontier_x2p0_seed991241,F02,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_negative_control,f02_common_b_seed990202,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f02_common_scaled_frontier_x4p0_seed991252,F02,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_negative_control,f02_common_scaled_seed990204,4.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f02_server_scaled_frontier_x2p0_seed991261,F02,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_negative_control,f02_server_scaled_seed990207,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f04_common_a_frontier_x2p0_seed991011,F04,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f04_common_a_seed990401,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f04_common_a_frontier_x4p0_seed991012,F04,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f04_common_a_seed990401,4.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f04_common_b_frontier_x2p0_seed991021,F04,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f04_common_b_seed990402,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f04_common_b_frontier_x4p0_seed991022,F04,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f04_common_b_seed990402,4.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
