campaign_id,freeze_id,created_at_utc,candidate_id,family,environment_target,variant,source_lifecycle_state,frozen_lifecycle_state,selection_decision,selection_reason,priority_label_from_screening,labels_seen_from_screening,min_relative_gap_meta_vs_multilevel,bundle_path,instance_path,graph_metis_path,graph_edges_path,manifest_row_path,sha256sums_path,confirmation_portfolio,confirmation_budgets_ms,confirmation_seeds,confirmation_environment_design,claim_boundary
EXP-MULTILEVEL-EXCEPTION-MINING-001,candidate_freeze_001,2026-05-08T11:08:09.970182+00:00,f01_common_a_seed990101,F01,common,common_a,generated,confirmation_selected,advance_to_confirmation,broad_near_exhaustive_confirmation_all_screened_non_holdout_candidates_selected_before_observing_confirmation_results,near_tie_candidate,near_tie_candidate,0.0,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F01/f01_common_a_seed990101,,,,,,METIS;KaHIP;SA;ILS;GRASP;TS;SA-Rust;ILS-Rust;GRASP-Rust;TS-Rust,100;250;500;1000;2000;3000;4000;5000,42;43;44;45;46,target_windows11_16gb_docker_linux_matrix; wsl_8gb_and_linux_server_8gb_attempt_same_matrix_or_failure_frontier,confirmation_manifest_only_not_confirmation_result
EXP-MULTILEVEL-EXCEPTION-MINING-001,candidate_freeze_001,2026-05-08T11:08:09.970182+00:00,f01_common_b_seed990102,F01,common,common_b,generated,confirmation_selected,advance_to_confirmation,broad_near_exhaustive_confirmation_all_screened_non_holdout_candidates_selected_before_observing_confirmation_results,near_tie_candidate,near_tie_candidate,0.0,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F01/f01_common_b_seed990102,,,,,,METIS;KaHIP;SA;ILS;GRASP;TS;SA-Rust;ILS-Rust;GRASP-Rust;TS-Rust,100;250;500;1000;2000;3000;4000;5000,42;43;44;45;46,target_windows11_16gb_docker_linux_matrix; wsl_8gb_and_linux_server_8gb_attempt_same_matrix_or_failure_frontier,confirmation_manifest_only_not_confirmation_result
EXP-MULTILEVEL-EXCEPTION-MINING-001,candidate_freeze_001,2026-05-08T11:08:09.970182+00:00,f01_common_c_seed990103,F01,common,common_c,generated,confirmation_selected,advance_to_confirmation,broad_near_exhaustive_confirmation_all_screened_non_holdout_candidates_selected_before_observing_confirmation_results,near_tie_candidate,near_tie_candidate,0.0,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F01/f01_common_c_seed990103,,,,,,METIS;KaHIP;SA;ILS;GRASP;TS;SA-Rust;ILS-Rust;GRASP-Rust;TS-Rust,100;250;500;1000;2000;3000;4000;5000,42;43;44;45;46,target_windows11_16gb_docker_linux_matrix; wsl_8gb_and_linux_server_8gb_attempt_same_matrix_or_failure_frontier,confirmation_manifest_only_not_confirmation_result
EXP-MULTILEVEL-EXCEPTION-MINING-001,candidate_freeze_001,2026-05-08T11:08:09.970182+00:00,f01_common_scaled_seed990104,F01,common,common_scaled,generated,confirmation_selected,advance_to_confirmation,broad_near_exhaustive_confirmation_all_screened_non_holdout_candidates_selected_before_observing_confirmation_results,strong_exception_candidate,strong_exception_candidate,-0.05555555555555555,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F01/f01_common_scaled_seed990104,,,,,,METIS;KaHIP;SA;ILS;GRASP;TS;SA-Rust;ILS-Rust;GRASP-Rust;TS-Rust,100;250;500;1000;2000;3000;4000;5000,42;43;44;45;46,target_windows11_16gb_docker_linux_matrix; wsl_8gb_and_linux_server_8gb_attempt_same_matrix_or_failure_frontier,confirmation_manifest_only_not_confirmation_result
EXP-MULTILEVEL-EXCEPTION-MINING-001,candidate_freeze_001,2026-05-08T11:08:09.970182+00:00,f01_server_a_seed990105,F01,server_expanded,server_a,generated,confirmation_selected,advance_to_confirmation,broad_near_exhaustive_confirmation_all_screened_non_holdout_candidates_selected_before_observing_confirmation_results,near_tie_candidate,near_tie_candidate,0.0,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F01/f01_server_a_seed990105,,,,,,METIS;KaHIP;SA;ILS;GRASP;TS;SA-Rust;ILS-Rust;GRASP-Rust;TS-Rust,100;250;500;1000;2000;3000;4000;5000,42;43;44;45;46,target_windows11_16gb_docker_linux_matrix; wsl_8gb_and_linux_server_8gb_attempt_same_matrix_or_failure_frontier,confirmation_manifest_only_not_confirmation_result
EXP-MULTILEVEL-EXCEPTION-MINING-001,candidate_freeze_001,2026-05-08T11:08:09.970182+00:00,f01_server_b_seed990106,F01,server_expanded,server_b,generated,confirmation_selected,advance_to_confirmation,broad_near_exhaustive_confirmation_all_screened_non_holdout_candidates_selected_before_observing_confirmation_results,near_tie_candidate,near_tie_candidate,0.0,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F01/f01_server_b_seed990106,,,,,,METIS;KaHIP;SA;ILS;GRASP;TS;SA-Rust;ILS-Rust;GRASP-Rust;TS-Rust,100;250;500;1000;2000;3000;4000;5000,42;43;44;45;46,target_windows11_16gb_docker_linux_matrix; wsl_8gb_and_linux_server_8gb_attempt_same_matrix_or_failure_frontier,confirmation_manifest_only_not_confirmation_result
EXP-MULTILEVEL-EXCEPTION-MINING-001,candidate_freeze_001,2026-05-08T11:08:09.970182+00:00,f01_server_scaled_seed990107,F01,server_expanded,server_scaled,generated,confirmation_selected,advance_to_confirmation,broad_near_exhaustive_confirmation_all_screened_non_holdout_candidates_selected_before_observing_confirmation_results,strong_exception_candidate,strong_exception_candidate,-0.1188118811881188,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F01/f01_server_scaled_seed990107,,,,,,METIS;KaHIP;SA;ILS;GRASP;TS;SA-Rust;ILS-Rust;GRASP-Rust;TS-Rust,100;250;500;1000;2000;3000;4000;5000,42;43;44;45;46,target_windows11_16gb_docker_linux_matrix; wsl_8gb_and_linux_server_8gb_attempt_same_matrix_or_failure_frontier,confirmation_manifest_only_not_confirmation_result
EXP-MULTILEVEL-EXCEPTION-MINING-001,candidate_freeze_001,2026-05-08T11:08:09.970182+00:00,f02_common_a_seed990201,F02,common,common_a,generated,confirmation_selected,advance_to_confirmation,broad_near_exhaustive_confirmation_all_screened_non_holdout_candidates_selected_before_observing_confirmation_results,near_tie_candidate,near_tie_candidate,0.0,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F02/f02_common_a_seed990201,,,,,,METIS;KaHIP;SA;ILS;GRASP;TS;SA-Rust;ILS-Rust;GRASP-Rust;TS-Rust,100;250;500;1000;2000;3000;4000;5000,42;43;44;45;46,target_windows11_16gb_docker_linux_matrix; wsl_8gb_and_linux_server_8gb_attempt_same_matrix_or_failure_frontier,confirmation_manifest_only_not_confirmation_result
EXP-MULTILEVEL-EXCEPTION-MINING-001,candidate_freeze_001,2026-05-08T11:08:09.970182+00:00,f02_common_b_seed990202,F02,common,common_b,generated,confirmation_selected,advance_to_confirmation,broad_near_exhaustive_confirmation_all_screened_non_holdout_candidates_selected_before_observing_confirmation_results,near_tie_candidate,near_tie_candidate,0.0,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F02/f02_common_b_seed990202,,,,,,METIS;KaHIP;SA;ILS;GRASP;TS;SA-Rust;ILS-Rust;GRASP-Rust;TS-Rust,100;250;500;1000;2000;3000;4000;5000,42;43;44;45;46,target_windows11_16gb_docker_linux_matrix; wsl_8gb_and_linux_server_8gb_attempt_same_matrix_or_failure_frontier,confirmation_manifest_only_not_confirmation_result
EXP-MULTILEVEL-EXCEPTION-MINING-001,candidate_freeze_001,2026-05-08T11:08:09.970182+00:00,f02_common_c_seed990203,F02,common,common_c,generated,confirmation_selected,advance_to_confirmation,broad_near_exhaustive_confirmation_all_screened_non_holdout_candidates_selected_before_observing_confirmation_results,near_tie_candidate,near_tie_candidate,0.0,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F02/f02_common_c_seed990203,,,,,,METIS;KaHIP;SA;ILS;GRASP;TS;SA-Rust;ILS-Rust;GRASP-Rust;TS-Rust,100;250;500;1000;2000;3000;4000;5000,42;43;44;45;46,target_windows11_16gb_docker_linux_matrix; wsl_8gb_and_linux_server_8gb_attempt_same_matrix_or_failure_frontier,confirmation_manifest_only_not_confirmation_result
EXP-MULTILEVEL-EXCEPTION-MINING-001,candidate_freeze_001,2026-05-08T11:08:09.970182+00:00,f02_common_scaled_seed990204,F02,common,common_scaled,generated,confirmation_selected,advance_to_confirmation,broad_near_exhaustive_confirmation_all_screened_non_holdout_candidates_selected_before_observing_confirmation_results,strong_exception_candidate,strong_exception_candidate,-0.00819672131147541,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F02/f02_common_scaled_seed990204,,,,,,METIS;KaHIP;SA;ILS;GRASP;TS;SA-Rust;ILS-Rust;GRASP-Rust;TS-Rust,100;250;500;1000;2000;3000;4000;5000,42;43;44;45;46,target_windows11_16gb_docker_linux_matrix; wsl_8gb_and_linux_server_8gb_attempt_same_matrix_or_failure_frontier,confirmation_manifest_only_not_confirmation_result
EXP-MULTILEVEL-EXCEPTION-MINING-001,candidate_freeze_001,2026-05-08T11:08:09.970182+00:00,f02_server_a_seed990205,F02,server_expanded,server_a,generated,confirmation_selected,advance_to_confirmation,broad_near_exhaustive_confirmation_all_screened_non_holdout_candidates_selected_before_observing_confirmation_results,near_tie_candidate,near_tie_candidate,0.0,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F02/f02_server_a_seed990205,,,,,,METIS;KaHIP;SA;ILS;GRASP;TS;SA-Rust;ILS-Rust;GRASP-Rust;TS-Rust,100;250;500;1000;2000;3000;4000;5000,42;43;44;45;46,target_windows11_16gb_docker_linux_matrix; wsl_8gb_and_linux_server_8gb_attempt_same_matrix_or_failure_frontier,confirmation_manifest_only_not_confirmation_result
