candidate_id,budget_ms,family,environment_target,recommended_plan_bucket,selection_tier,confirmation_role,pool_role,source_parent_candidate_id,scale_factor,preliminary_label,confirmed_label,transition_class,best_meta_algo_screening,best_meta_cut_screening,best_multilevel_cut_screening,relative_gap_screening,confirmation_best_algo,confirmation_best_cut,confirmation_meta_best_algo,confirmation_meta_best_cut,confirmation_multilevel_best_cut,confirmation_relative_gap
f01_common_scaled_frontier_x4p0_seed991152,1000,F01,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f01_common_scaled_seed990104,4.0,strong_exception_candidate,strong_exception_confirmed,stable_strong,ts_rust,304,345,-0.11884057971014493,,,,,345,
f01_common_scaled_frontier_x4p0_seed991152,5000,F01,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f01_common_scaled_seed990104,4.0,strong_exception_candidate,strong_exception_confirmed,stable_strong,ts_rust,304,345,-0.11884057971014493,,,,,345,
f01_server_scaled_frontier_x2p0_seed991161,1000,F01,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f01_server_scaled_seed990107,2.0,strong_exception_candidate,strong_exception_confirmed,stable_strong,ts_rust,204,245,-0.1673469387755102,,,,,259,
f01_server_scaled_frontier_x2p0_seed991161,5000,F01,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f01_server_scaled_seed990107,2.0,strong_exception_candidate,strong_exception_confirmed,stable_strong,ts_rust,204,245,-0.1673469387755102,,,,,259,
f01_server_scaled_frontier_x4p0_seed991162,1000,F01,server_expanded,confirmation_core,primary_budget_sensitive_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f01_server_scaled_seed990107,4.0,competitive_candidate,competitive_confirmed,same_tier,ts_rust,335,321,0.04361370716510903,,,,,321,
f01_server_scaled_frontier_x4p0_seed991162,5000,F01,server_expanded,confirmation_core,primary_budget_sensitive_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f01_server_scaled_seed990107,4.0,strong_exception_candidate,strong_exception_confirmed,stable_strong,grasp_rust,312,321,-0.028037383177570093,,,,,321,
f02_common_b_frontier_x2p0_seed991241,1000,F02,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_negative_control,f02_common_b_seed990202,2.0,strong_exception_candidate,strong_exception_confirmed,stable_strong,ts_rust,247,259,-0.04633204633204633,,,,,259,
f02_common_b_frontier_x2p0_seed991241,5000,F02,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_negative_control,f02_common_b_seed990202,2.0,strong_exception_candidate,strong_exception_confirmed,stable_strong,ts_rust,247,259,-0.04633204633204633,,,,,259,
f02_common_scaled_frontier_x4p0_seed991252,1000,F02,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_negative_control,f02_common_scaled_seed990204,4.0,strong_exception_candidate,strong_exception_confirmed,stable_strong,ts_rust,1629,1722,-0.05400696864111498,,,,,1726,
f02_common_scaled_frontier_x4p0_seed991252,5000,F02,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_negative_control,f02_common_scaled_seed990204,4.0,strong_exception_candidate,strong_exception_confirmed,stable_strong,ts_rust,1629,1722,-0.05400696864111498,,,,,1726,
f02_server_scaled_frontier_x2p0_seed991261,1000,F02,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_negative_control,f02_server_scaled_seed990207,2.0,strong_exception_candidate,strong_exception_confirmed,stable_strong,ts_rust,767,804,-0.046019900497512436,,,,,809,
f02_server_scaled_frontier_x2p0_seed991261,5000,F02,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_negative_control,f02_server_scaled_seed990207,2.0,strong_exception_candidate,strong_exception_confirmed,stable_strong,ts_rust,767,804,-0.046019900497512436,,,,,809,
